Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID
0.1,350,25,0,0,4,2
0.2,352.5,25,0,0,4,2
0.3,355,25,0,0,4,2
0.4,357.5,25,0,0,4,2
0.5,360,25,0,0,4,2
0.6,362.5,25,0,0,4,2
0.7,365,25,0,0,4,2
0.8,367.5,25,0,0,4,2
0.9,370,25,0,0,4,2
1,372.5,25,0,0,4,2
1.1,375,25,0,0,4,2
1.2,377.5,25,0,0,4,2
1.3,380,25,0,0,4,2
1.4,382.5,25,0,0,4,2
1.5,385,25,0,0,4,2
1.6,387.5,25,0,0,4,2
1.7,390,25,0,0,4,2
1.8,392.5,25,0,0,4,2
1.9,395,25,0,0,4,2
2,397.5,25,0,0,4,2
2.1,400,25,0,0,4,2
2.2,402.5,25,0,0,4,2
2.3,405,25,0,0,4,2
2.4,407.5,25,0,0,4,2
2.5,410,25,0,0,4,2
2.6,412.5,25,0,0,4,2
2.7,415,25,0,0,4,2
2.8,417.5,25,0,0,4,2
2.9,420,25,0,0,4,2
3,422.5,25,0,0,4,2
3.1,425,25,0,0,4,2
3.2,427.5,25,0,0,4,2
3.3,430,25,0,0,4,2
3.4,432.5,25,0,0,4,2
3.5,435,25,0,0,4,2
3.6,437.5,25,0,0,4,2
3.7,440,25,0,0,4,2
3.8,442.5,25,0,0,4,2
3.9,445,25,0,0,4,2
4,447.5,25,0,0,4,2
4.1,450,25,0,0,4,2
4.2,452.5,25,0,0,4,2
4.3,455,25,0,0,4,2
4.4,457.5,25,0,0,4,2
4.5,460,25,0,0,4,2
4.6,462.5,25,0,0,4,2
4.7,465,25,0,0,4,2
4.8,467.5,25,0,0,4,2
4.9,470,25,0,0,4,2
5,472.5,25,0,0,4,2
5.1,475,25,0,0,4,2
5.2,477.5,25,0,0,4,2
5.3,480,25,0,0,4,2
5.4,482.5,25,0,0,4,2
5.5,485,25,0,0,4,2
5.6,487.5,25,0,0,4,2
5.7,490,25,0,0,4,2
5.8,492.5,25,0,0,4,2
5.9,495,25,0,0,4,2
6,497.5,25,0,0,4,2
6.1,500,25,0,0,4,2
6.2,502.5,25,0,0,4,2
6.3,505,25,0,0,4,2
6.4,507.5,25,0,0,4,2
6.5,510,25,0,0,4,2
6.6,512.5,25,0,0,4,2
6.7,515,25,0,0,4,2
6.8,517.5,25,0,0,4,2
6.9,520,25,0,0,4,2
7,522.5,25,0,0,4,2
7.1,525,25,0,0,4,2
7.2,527.5,25,0,0,4,2
7.3,530,25,0,0,4,2
7.4,532.5,25,0,0,4,2
7.5,535,25,0,0,4,2
7.6,537.5,25,0,0,4,2
7.7,540,25,0,0,4,2
7.8,542.5,25,0,0,4,2
7.9,545,25,0,0,4,2
8,547.5,25,0,0,4,2
8.1,550,25,0,0,4,2
8.2,552.5,25,0,0,4,2
8.3,555,25,0,0,4,2
8.4,557.5,25,0,0,4,2
8.5,560,25,0,0,4,2
8.6,562.5,25,0,0,4,2
8.7,565,25,0,0,4,2
8.8,567.5,25,0,0,4,2
8.9,570,25,0,0,4,2
9,572.5,25,0,0,4,2
9.1,575,25,0,0,4,2
9.2,577.5,25,0,0,4,2
9.3,580,25,0,0,4,2
9.4,582.5,25,0,0,4,2
9.5,585,25,0,0,4,2
