Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID,Status
0.1,-100,25,0,0,10,8,In Lane(MainLane)
0.2,-97.5012,24.9754,-0.24645,-2.4645,10,8,In Lane(MainLane)
0.3,-95.0049,24.9515,-0.23806,0.083945,10,8,In Lane(MainLane)
0.4,-92.5109,24.9286,-0.22997,0.080857,10,8,In Lane(MainLane)
0.5,-90.0191,24.9063,-0.22218,0.077897,10,8,In Lane(MainLane)
0.6,-87.5296,24.8849,-0.21468,0.07506,10,8,In Lane(MainLane)
0.7,-85.0421,24.8641,-0.20744,0.072339,10,8,In Lane(MainLane)
0.8,-82.5567,24.8441,-0.20047,0.069728,10,8,In Lane(MainLane)
0.9,-80.0733,24.8247,-0.19375,0.067224,10,8,In Lane(MainLane)
1,-77.5917,24.806,-0.18726,0.064819,10,8,In Lane(MainLane)
1.1,-75.1121,24.7879,-0.18101,0.062511,10,8,In Lane(MainLane)
1.2,-72.6341,24.7704,-0.17498,0.060293,10,8,In Lane(MainLane)
1.3,-70.1579,24.7535,-0.16917,0.058163,10,8,In Lane(MainLane)
1.4,-67.6834,24.7371,-0.16356,0.056116,10,8,In Lane(MainLane)
1.5,-65.2105,24.7213,-0.15814,0.054149,10,8,In Lane(MainLane)
1.6,-62.7391,24.706,-0.15292,0.052257,10,8,In Lane(MainLane)
1.7,-60.2693,24.6912,-0.14787,0.050437,10,8,In Lane(MainLane)
1.8,-57.8009,24.6769,-0.143,0.048687,10,8,In Lane(MainLane)
1.9,-55.3339,24.6631,-0.1383,0.047004,10,8,In Lane(MainLane)
2,-52.8682,24.6497,-0.13376,0.045383,10,8,In Lane(MainLane)
2.1,-50.4039,24.6368,-0.12938,0.043824,10,8,In Lane(MainLane)
2.2,-47.9409,24.6242,-0.12515,0.042322,10,8,In Lane(MainLane)
2.3,-45.479,24.6121,-0.12106,0.040876,10,8,In Lane(MainLane)
2.4,-43.0184,24.6004,-0.11711,0.039483,10,8,In Lane(MainLane)
2.5,-40.5589,24.5891,-0.1133,0.038142,10,8,In Lane(MainLane)
